,|000|,|001|,|002|,|003|,|004|,|005|,|006|,|007|,|008|,|009|,|010|,|011|,|012|,|013|,|014|,|015|,|016|,|017|,|018|,|019|,|020|,|021|,|022|,|023|,|024|,|025|,|026|,|027|,|028|,|029|,|030|,|031|,|032|,|033|,|034|,|035|,|036|,|037|,|038|,|039|,|040|,|041|,|042|,|043|,|044|,|045|,|046|,|047|,|048|,|049|,|050|,|051|,|052|,|053|,|054|,|055|,|056|,|057|,|058|,|059|,|060|,|061|,|062|,|063|,|064|,|065|,|066|,|067|,|068|,|069|,|070|,|071|,|072|,|073|,|074|,|075|,|076|,|077|,|078|,|079|,|080|,|081|,|082|,|083|,|084|,|085|,|086|,|087|,|088|,|089|,|090|,|091|,|092|,|093|,|094|,|095|,|096|,|097|,|098|,|099|
|000|,0,-,0,-,0,0,-,-,-,0,0,0,0,0,-,0,0,-,-,0,0,-,0,-,0,-,0,-,0,0,80,0,50,0,0,-,-,-,-,-,-,0,50,-,-,50,0,-,50,-,0,-,0,0,-,0,50,0,-,0,50,0,-,0,0,0,0,0,0,80,0,80,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,30
|001|,-,-,S,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,-,0,0,0,50,0,0,0,0,0,0,-,-,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,80,-,0,-,-,-,0,0,-,0,0,-,0,0,0,0,0,0,30,0,0,30,-,30,0,30,-,0,30
|002|,-,0,0,0,0,0,0,-,-,-,0,0,-,0,0,0,-,0,-,-,0,80,0,0,0,50,0,-,-,0,0,0,-,-,-,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,-,0,0,-,0,-,-,0,-,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,30,-,30,0,-,-,-,30,-,-,0,0,0,0,-,0,0
|003|,-,-,-,-,0,0,0,0,-,0,-,0,0,0,0,-,80,0,0,0,0,0,-,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,-,0,-,0,0,50,-,-,-,80,-,-,0,-,0,0,-,30,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0
|004|,-,-,-,0,-,0,0,0,-,-,0,0,80,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,0,50,0,-,-,-,0,0,0,0,0,0,0,0,40,0,40,0,0,0,40,0,40,0,0,0,0,-,50,0,0,-,0,-,0,-,0,-,0,0,0,0,80,0,0,-,0,30,0,30,0,-,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0
|005|,-,0,-,-,0,-,0,0,-,0,0,-,-,0,90,0,-,0,0,0,-,90,0,-,0,-,90,90,0,0,90,0,0,0,-,-,0,-,-,0,40,0,-,0,-,0,-,-,30,0,-,-,-,40,-,-,30,-,20,0,0,30,0,0,30,0,0,0,30,30,30,0,30,0,30,30,0,0,0,0,0,0,30,0,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,-
|006|,-,0,0,-,-,-,-,0,0,-,-,0,-,0,0,0,50,0,0,0,0,0,90,0,0,-,0,-,50,0,-,0,0,0,0,-,40,90,50,0,0,-,50,-,50,0,50,-,0,-,20,20,30,80,0,20,80,40,50,80,0,0,50,30,80,0,0,0,0,0,80,50,-,30,30,30,50,0,0,-,30,0,0,30,0,-,0,0,0,0,-,-,0,0,0,0,0,0,0,-
|007|,-,-,-,-,90,-,0,80,0,0,-,-,0,-,-,0,-,0,-,0,-,0,-,-,-,-,-,0,0,0,0,0,0,50,0,0,90,0,-,0,30,90,30,30,0,50,50,80,20,50,50,0,50,50,0,50,50,0,0,0,0,-,0,0,0,-,0,80,0,0,-,0,0,0,0,0,0,0,0,90,0,0,50,0,0,30,50,0,0,0,-,0,0,0,0,0,-,0,-,-
|008|,-,0,0,-,0,80,0,-,-,0,0,-,0,-,-,0,0,-,0,-,90,0,-,0,50,-,0,-,-,90,0,-,0,0,40,0,-,-,40,40,50,40,50,80,90,0,50,0,-,50,0,20,0,0,20,0,50,0,0,0,50,0,-,0,0,0,0,0,0,-,-,0,80,0,90,0,0,0,0,0,0,0,90,0,0,90,30,30,0,50,-,50,0,0,0,-,0,-,0,0
|009|,90,-,0,0,0,-,-,0,0,-,0,0,50,0,0,0,-,0,0,0,90,0,-,0,0,-,-,0,0,0,0,0,0,0,90,0,40,50,20,50,20,90,0,0,0,40,90,0,20,0,0,50,0,0,20,0,10,50,50,30,0,30,40,-,30,0,30,30,80,0,90,30,-,-,90,80,-,-,30,-,0,0,30,0,30,0,30,50,0,0,50,-,0,50,50,50,0,-,0,0
